Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,744,997,864,611,286,647
4/10/2022,>25,Male,281,370,697,985,848,554
4/10/2022,15-25,Female,561,384,385,589,105,561
4/10/2022,>25,Female,876,330,220,522,133,781
5/10/2022,15-25,Male,77,762,903,194,729,59
5/10/2022,>25,Male,430,108,886,77,843,243
5/10/2022,15-25,Female,162,816,700,90,303,662
5/10/2022,>25,Female,963,599,994,621,584,356
6/10/2022,15-25,Male,966,801,791,389,186,231
6/10/2022,>25,Male,591,612,586,107,861,697
6/10/2022,15-25,Female,417,467,14,643,984,122
6/10/2022,>25,Female,106,642,993,567,291,312
7/10/2022,15-25,Male,769,486,358,279,254,896
7/10/2022,>25,Male,715,787,811,663,661,417
7/10/2022,15-25,Female,543,863,220,117,587,203
7/10/2022,>25,Female,545,719,444,909,51,887
8/10/2022,15-25,Male,94,401,975,547,498,218
8/10/2022,>25,Male,4,58,83,386,305,635
8/10/2022,15-25,Female,716,290,40,347,939,954
8/10/2022,>25,Female,858,717,401,7,721,918
9/10/2022,15-25,Male,501,121,681,623,165,994
9/10/2022,>25,Male,841,116,960,406,325,232
9/10/2022,15-25,Female,22,28,814,237,464,825
9/10/2022,>25,Female,473,132,506,241,317,644
10/10/2022,15-25,Male,503,743,911,898,311,759
10/10/2022,>25,Male,260,325,716,117,352,439
10/10/2022,15-25,Female,862,117,606,949,444,749
10/10/2022,>25,Female,940,400,957,729,714,132
11/10/2022,15-25,Male,573,407,227,242,74,654
11/10/2022,>25,Male,362,30,991,269,961,415
11/10/2022,15-25,Female,146,379,358,493,880,94
11/10/2022,>25,Female,841,408,44,139,289,157
12/10/2022,15-25,Male,725,75,617,291,35,95
12/10/2022,>25,Male,593,235,935,620,310,325
12/10/2022,15-25,Female,330,141,569,896,413,901
12/10/2022,>25,Female,658,1,213,293,616,607
13/10/2022,15-25,Male,896,444,556,642,417,230
13/10/2022,>25,Male,456,185,61,660,14,824
13/10/2022,15-25,Female,47,928,890,52,808,839
13/10/2022,>25,Female,790,741,579,796,382,177
14/10/2022,15-25,Male,545,230,457,600,402,712
14/10/2022,>25,Male,584,417,600,7,312,154
14/10/2022,15-25,Female,123,436,117,552,672,673
14/10/2022,>25,Female,172,991,260,934,270,211
15/10/2022,15-25,Male,847,979,136,193,974,535
15/10/2022,>25,Male,496,741,569,161,235,196
15/10/2022,15-25,Female,801,255,293,38,494,367
15/10/2022,>25,Female,634,662,634,409,421,983
16/10/2022,15-25,Male,350,216,600,902,504,559
16/10/2022,>25,Male,592,441,229,181,971,882
16/10/2022,15-25,Female,325,127,983,126,540,594
16/10/2022,>25,Female,214,589,891,248,468,688
17/10/2022,15-25,Male,258,13,832,966,803,853
17/10/2022,>25,Male,111,699,811,770,21,375
17/10/2022,15-25,Female,399,20,394,486,854,93
17/10/2022,>25,Female,144,551,826,426,858,651
18/10/2022,15-25,Male,305,970,203,206,415,210
18/10/2022,>25,Male,859,873,627,939,95,287
18/10/2022,15-25,Female,645,933,657,491,420,256
18/10/2022,>25,Female,87,422,866,298,309,993
19/10/2022,15-25,Male,750,220,857,982,777,997
19/10/2022,>25,Male,438,812,793,140,860,965
19/10/2022,15-25,Female,897,126,456,729,532,336
19/10/2022,>25,Female,559,791,730,960,831,100
20/10/2022,15-25,Male,207,333,636,293,255,4
20/10/2022,>25,Male,666,828,745,286,854,627
20/10/2022,15-25,Female,86,460,241,757,531,873
20/10/2022,>25,Female,121,668,965,1000,666,787
21/10/2022,15-25,Male,858,822,173,94,183,130
21/10/2022,>25,Male,577,268,688,565,857,676
21/10/2022,15-25,Female,463,566,359,711,411,311
21/10/2022,>25,Female,92,575,841,964,889,931
22/10/2022,15-25,Male,76,606,340,495,766,526
22/10/2022,>25,Male,151,929,915,336,982,48
22/10/2022,15-25,Female,155,916,838,771,186,266
22/10/2022,>25,Female,9,372,731,21,175,723
23/10/2022,15-25,Male,686,945,521,957,111,298
23/10/2022,>25,Male,487,677,662,685,593,855
23/10/2022,15-25,Female,390,211,983,14,573,585
23/10/2022,>25,Female,20,713,152,950,413,399
24/10/2022,15-25,Male,840,235,157,517,734,999
24/10/2022,>25,Male,643,739,783,388,906,903
24/10/2022,15-25,Female,226,113,614,921,259,171
24/10/2022,>25,Female,713,859,101,585,423,475
25/10/2022,15-25,Male,7,618,551,768,555,887
25/10/2022,>25,Male,792,60,83,164,794,905
25/10/2022,15-25,Female,308,78,557,602,988,510
25/10/2022,>25,Female,625,940,189,293,48,45
26/10/2022,15-25,Male,665,490,191,610,836,417
26/10/2022,>25,Male,635,65,584,70,892,292
26/10/2022,15-25,Female,988,923,945,890,728,997
26/10/2022,>25,Female,834,406,341,862,255,678
27/10/2022,15-25,Male,49,890,766,773,467,457
27/10/2022,>25,Male,260,865,327,823,549,624
27/10/2022,15-25,Female,132,815,7,555,455,416
27/10/2022,>25,Female,556,570,515,450,694,794
28/10/2022,15-25,Male,803,196,564,702,760,517
28/10/2022,>25,Male,759,735,611,646,585,490
28/10/2022,15-25,Female,85,564,275,259,451,444
28/10/2022,>25,Female,669,630,959,881,395,195
29/10/2022,15-25,Male,400,760,222,722,201,670
29/10/2022,>25,Male,928,210,680,957,71,674
29/10/2022,15-25,Female,515,457,553,332,560,566
29/10/2022,>25,Female,415,517,33,605,847,572
